name,birthday,nationality
Tom Cruise,1962-07-03,USA
Will Smith,1968-09-25,USA
Scarlett Johansson,1984-11-22,USA
Morgan Freeman,1937-06-01,USA
Emma Stone,1988-11-06,USA
Julia Roberts,1967-10-28,USA
Angelina Jolie,1975-06-04,USA
Meryl Streep,1949-06-22,USA
Anne Hathaway,1982-11-12,USA
Kevin Spacey,1959-07-26,USA
Drew Barrymore,1975-02-22,USA
Jack Nicholson,1937-04-22,USA
Sandra Bullock,1964-07-26,USA
Eva Mendes,1974-03-05,USA
Johnny Depp,1963-06-09,USA
Brad Pitt,1963-12-18,USA
Leonardo DiCaprio,1974-11-11,USA
Bruce Willis,1955-03-19,USA
Robert De Niro,1943-08-17,USA
Joaquin Phoenix,1974-10-28,USA
Jennifer Lawrence,1990-08-15,USA
Matthew McConaughey,1969-11-04,USA
Eva Longoria,1975-03-15,USA
Ben Affleck,1972-08-15,USA
Zoe Saldana,1978-06-19,USA
Jessica Alba,1981-04-28,USA
Sylvester Stallone,1946-07-06,USA
Gisele Bündchen,1980-07-20,BRAZIL
Fernanda Montenegro,1929-10-16,BRAZIL
Wagner Moura,1976-06-27,BRAZIL
Alice Braga,1983-04-15,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Morena Baccarin,1979-06-02,BRAZIL
Camila Mendes,1994-06-29,BRAZIL
Gugu Liberato,1959-04-10,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Marina Ruy Barbosa,1995-06-30,BRAZIL
Caio Castro,1989-01-22,BRAZIL
Taís Araújo,1978-11-25,BRAZIL
Ana Hickmann,1981-03-01,BRAZIL
Neymar Jr.,1992-02-05,BRAZIL
Giovanna Antonelli,1976-03-18,BRAZIL
Bruna Marquezine,1995-08-04,BRAZIL
Camila Queiroz,1993-06-27,BRAZIL
Paolla Oliveira,1982-04-14,BRAZIL